date,open,close,high,low,volume,lg_innotek_open,lg_innotek_close,lg_innotek_high,lg_innotek_low,ko_cases,ko_deaths,se_cases,se_deaths
2020-01-02,140000.0,139000.0,141500.0,138500.0,102519.0,140000.0,139000.0,141500.0,138500.0,0.0,0.0,0.0,0.0
2020-01-03,141000.0,139500.0,143000.0,138000.0,111592.0,141000.0,139500.0,143000.0,138000.0,0.0,0.0,0.0,0.0
2020-01-06,138500.0,142000.0,142500.0,136000.0,110591.0,138500.0,142000.0,142500.0,136000.0,0.0,0.0,0.0,0.0
2020-01-07,142500.0,141000.0,143000.0,139500.0,144046.0,142500.0,141000.0,143000.0,139500.0,0.0,0.0,0.0,0.0
2020-01-08,139000.0,137500.0,139500.0,135500.0,239490.0,139000.0,137500.0,139500.0,135500.0,0.0,0.0,0.0,0.0
2020-01-09,139500.0,145500.0,145500.0,139500.0,293629.0,139500.0,145500.0,145500.0,139500.0,0.0,0.0,0.0,0.0
2020-01-10,146000.0,148500.0,151000.0,145000.0,195372.0,146000.0,148500.0,151000.0,145000.0,0.0,0.0,0.0,0.0
2020-01-13,148000.0,154000.0,154000.0,147000.0,201631.0,148000.0,154000.0,154000.0,147000.0,0.0,0.0,0.0,0.0
2020-01-14,154500.0,151000.0,155000.0,150000.0,171277.0,154500.0,151000.0,155000.0,150000.0,0.0,0.0,0.0,0.0
2020-01-15,150000.0,148000.0,151500.0,146500.0,220402.0,150000.0,148000.0,151500.0,146500.0,0.0,0.0,0.0,0.0
2020-01-16,147000.0,147500.0,149000.0,146000.0,123212.0,147000.0,147500.0,149000.0,146000.0,0.0,0.0,0.0,0.0
2020-01-17,149500.0,148500.0,151000.0,147500.0,115438.0,149500.0,148500.0,151000.0,147500.0,0.0,0.0,0.0,0.0
2020-01-20,149500.0,147500.0,151500.0,147500.0,124661.0,149500.0,147500.0,151500.0,147500.0,0.0,0.0,0.0,0.0
2020-01-21,148500.0,148000.0,149500.0,147000.0,89682.0,148500.0,148000.0,149500.0,147000.0,0.0,0.0,0.0,0.0
2020-01-22,148000.0,148000.0,148500.0,145500.0,110366.0,148000.0,148000.0,148500.0,145500.0,0.0,0.0,0.0,0.0
2020-01-23,147000.0,152500.0,153500.0,146000.0,173243.0,147000.0,152500.0,153500.0,146000.0,0.0,0.0,0.0,0.0
2020-01-24,147000.0,152300.0,153400.0,146000.0,185579.0,147000.0,152300.0,153400.0,146000.0,1.0,0.0,0.0,0.0
2020-01-25,147000.0,152100.0,153300.0,146000.0,197915.0,147000.0,152100.0,153300.0,146000.0,0.0,0.0,0.0,0.0
2020-01-26,147000.0,151900.0,153200.0,146000.0,210251.0,147000.0,151900.0,153200.0,146000.0,0.0,0.0,0.0,0.0
2020-01-27,147000.0,151700.0,153100.0,146000.0,222587.0,147000.0,151700.0,153100.0,146000.0,2.0,0.0,0.0,0.0
2020-01-28,147000.0,151500.0,153000.0,146000.0,234923.0,147000.0,151500.0,153000.0,146000.0,0.0,0.0,0.0,0.0
2020-01-29,154500.0,158000.0,160000.0,154500.0,388880.0,154500.0,158000.0,160000.0,154500.0,0.0,0.0,0.0,0.0
2020-01-30,160000.0,155500.0,163500.0,154000.0,360798.0,160000.0,155500.0,163500.0,154000.0,3.0,0.0,0.0,0.0
2020-01-31,156500.0,152000.0,158500.0,151000.0,245518.0,156500.0,152000.0,158500.0,151000.0,4.0,0.0,0.0,0.0
2020-02-01,154000.0,151500.0,156000.0,148166.66666666666,281506.3333333333,154000.0,151500.0,156000.0,148166.66666666666,1.0,0.0,0.0,0.0
2020-02-02,151500.0,151000.0,153500.0,145333.33333333334,317494.6666666667,151500.0,151000.0,153500.0,145333.33333333334,3.0,0.0,0.0,0.0
2020-02-03,149000.0,150500.0,151000.0,142500.0,353483.0,149000.0,150500.0,151000.0,142500.0,0.0,0.0,0.0,0.0
2020-02-04,148000.0,155000.0,155000.0,147500.0,350711.0,148000.0,155000.0,155000.0,147500.0,1.0,0.0,0.0,0.0
2020-02-05,156000.0,152000.0,161000.0,151000.0,311516.0,156000.0,152000.0,161000.0,151000.0,5.0,0.0,0.0,0.0
2020-02-06,154000.0,156000.0,157500.0,151000.0,218885.0,154000.0,156000.0,157500.0,151000.0,3.0,0.0,0.0,0.0
2020-02-07,153500.0,150500.0,154500.0,150000.0,218071.0,153500.0,150500.0,154500.0,150000.0,0.0,0.0,0.0,0.0
2020-02-08,151833.33333333334,149333.33333333334,152500.0,148000.0,231721.0,151833.33333333334,149333.33333333334,152500.0,148000.0,0.0,0.0,0.0,0.0
2020-02-09,150166.66666666666,148166.66666666666,150500.0,146000.0,245371.0,150166.66666666666,148166.66666666666,150500.0,146000.0,3.0,0.0,0.0,0.0
