date,open,close,high,low,volume,011070_open,011070_close,011070_high,011070_low,ko_cases,ko_deaths,se_cases,se_deaths
2020-01-02,321000.0,314000.0,321000.0,313500.0,139496.0,140000.0,139000.0,141500.0,138500.0,0.0,0.0,0.0,0.0
2020-01-03,317000.0,311000.0,318500.0,310500.0,165030.0,141000.0,139500.0,143000.0,138000.0,0.0,0.0,0.0,0.0
2020-01-06,308000.0,307000.0,311000.0,306500.0,138154.0,138500.0,142000.0,142500.0,136000.0,0.0,0.0,0.0,0.0
2020-01-07,306000.0,311000.0,313500.0,305000.0,133788.0,142500.0,141000.0,143000.0,139500.0,0.0,0.0,0.0,0.0
2020-01-08,306000.0,302000.0,307000.0,301500.0,225471.0,139000.0,137500.0,139500.0,135500.0,0.0,0.0,0.0,0.0
2020-01-09,305000.0,306500.0,307500.0,304500.0,198621.0,139500.0,145500.0,145500.0,139500.0,0.0,0.0,0.0,0.0
2020-01-10,307000.0,325000.0,325500.0,306500.0,610981.0,146000.0,148500.0,151000.0,145000.0,0.0,0.0,0.0,0.0
2020-01-13,328500.0,332500.0,335000.0,327500.0,359435.0,148000.0,154000.0,154000.0,147000.0,0.0,0.0,0.0,0.0
2020-01-14,335000.0,333500.0,343000.0,331000.0,425340.0,154500.0,151000.0,155000.0,150000.0,0.0,0.0,0.0,0.0
2020-01-15,330500.0,328500.0,333000.0,327000.0,231766.0,150000.0,148000.0,151500.0,146500.0,0.0,0.0,0.0,0.0
2020-01-16,328500.0,329000.0,330000.0,324000.0,194414.0,147000.0,147500.0,149000.0,146000.0,0.0,0.0,0.0,0.0
2020-01-17,330500.0,333000.0,333000.0,330000.0,221203.0,149500.0,148500.0,151000.0,147500.0,0.0,0.0,0.0,0.0
2020-01-20,340500.0,354000.0,355000.0,340000.0,556519.0,149500.0,147500.0,151500.0,147500.0,0.0,0.0,0.0,0.0
2020-01-21,358000.0,344500.0,359000.0,344500.0,364883.0,148500.0,148000.0,149500.0,147000.0,0.0,0.0,0.0,0.0
2020-01-22,347500.0,351500.0,353000.0,344500.0,311524.0,148000.0,148000.0,148500.0,145500.0,0.0,0.0,0.0,0.0
2020-01-23,347500.0,348500.0,354000.0,347000.0,260932.0,147000.0,152500.0,153500.0,146000.0,0.0,0.0,0.0,0.0
2020-01-24,345600.0,346100.0,351100.0,344600.0,278405.2,147000.0,152300.0,153400.0,146000.0,1.0,0.0,0.0,0.0
2020-01-25,343700.0,343700.0,348200.0,342200.0,295878.4,147000.0,152100.0,153300.0,146000.0,0.0,0.0,0.0,0.0
2020-01-26,341800.0,341300.0,345300.0,339800.0,313351.6,147000.0,151900.0,153200.0,146000.0,0.0,0.0,0.0,0.0
2020-01-27,339900.0,338900.0,342400.0,337400.0,330824.8,147000.0,151700.0,153100.0,146000.0,2.0,0.0,0.0,0.0
2020-01-28,338000.0,336500.0,339500.0,335000.0,348298.0,147000.0,151500.0,153000.0,146000.0,0.0,0.0,0.0,0.0
2020-01-29,338000.0,335000.0,339000.0,332500.0,272147.0,154500.0,158000.0,160000.0,154500.0,0.0,0.0,0.0,0.0
2020-01-30,338500.0,343500.0,347500.0,338500.0,642288.0,160000.0,155500.0,163500.0,154000.0,3.0,0.0,0.0,0.0
2020-01-31,349000.0,337500.0,354000.0,335000.0,391298.0,156500.0,152000.0,158500.0,151000.0,4.0,0.0,0.0,0.0
2020-02-01,342166.6666666667,341666.6666666667,353166.6666666667,331833.3333333333,459014.6666666667,154000.0,151500.0,156000.0,148166.66666666666,1.0,0.0,0.0,0.0
2020-02-02,335333.3333333333,345833.3333333333,352333.3333333333,328666.6666666667,526731.3333333334,151500.0,151000.0,153500.0,145333.33333333334,3.0,0.0,0.0,0.0
2020-02-03,328500.0,350000.0,351500.0,325500.0,594448.0,149000.0,150500.0,151000.0,142500.0,0.0,0.0,0.0,0.0
2020-02-04,364500.0,379500.0,385000.0,361500.0,995237.0,148000.0,155000.0,155000.0,147500.0,1.0,0.0,0.0,0.0
2020-02-05,391000.0,382000.0,391500.0,377000.0,731711.0,156000.0,152000.0,161000.0,151000.0,5.0,0.0,0.0,0.0
2020-02-06,374500.0,382000.0,385000.0,372500.0,551088.0,154000.0,156000.0,157500.0,151000.0,3.0,0.0,0.0,0.0
2020-02-07,377000.0,386500.0,391500.0,377000.0,392312.0,153500.0,150500.0,154500.0,150000.0,0.0,0.0,0.0,0.0
2020-02-08,378833.3333333333,386666.6666666667,391000.0,378333.3333333333,358842.6666666667,151833.33333333334,149333.33333333334,152500.0,148000.0,0.0,0.0,0.0,0.0
2020-02-09,380666.6666666667,386833.3333333333,390500.0,379666.6666666667,325373.3333333333,150166.66666666666,148166.66666666666,150500.0,146000.0,3.0,0.0,0.0,0.0
2020-02-10,382500.0,387000.0,390000.0,381000.0,291904.0,148500.0,147000.0,148500.0,144000.0,0.0,0.0,0.0,0.0
2020-02-11,394500.0,413500.0,420000.0,393500.0,983089.0,149500.0,151000.0,152500.0,148500.0,1.0,0.0,0.0,0.0
2020-02-12,408500.0,408000.0,412000.0,403500.0,463511.0,151000.0,151000.0,152000.0,149000.0,0.0,0.0,0.0,0.0
2020-02-13,408500.0,411500.0,418000.0,408000.0,448366.0,153500.0,154000.0,158000.0,152500.0,0.0,0.0,0.0,0.0
2020-02-14,416500.0,413500.0,420000.0,412000.0,301730.0,156000.0,155000.0,159000.0,153500.0,0.0,0.0,0.0,0.0
2020-02-15,417833.3333333333,415500.0,420833.3333333333,411000.0,372605.0,155666.66666666666,155166.66666666666,159000.0,153333.33333333334,0.0,0.0,0.0,0.0
2020-02-16,419166.6666666667,417500.0,421666.6666666667,410000.0,443480.0,155333.33333333334,155333.33333333334,159000.0,153166.66666666666,1.0,0.0,0.0,0.0
2020-02-17,420500.0,419500.0,422500.0,409000.0,514355.0,155000.0,155500.0,159000.0,153000.0,1.0,0.0,14.0,0.0
2020-02-18,418000.0,418000.0,422000.0,415000.0,366288.0,154000.0,148500.0,154000.0,148000.0,9.0,0.0,0.0,0.0
2020-02-19,420500.0,404000.0,421500.0,403500.0,766920.0,149000.0,149500.0,150500.0,145500.0,7.0,0.0,1.0,0.0
2020-02-20,408500.0,419000.0,422000.0,406000.0,482732.0,151000.0,147000.0,151500.0,146500.0,58.0,1.0,7.0,0.0
2020-02-21,407000.0,407000.0,416500.0,406500.0,400924.0,144000.0,149000.0,149500.0,143500.0,100.0,0.0,5.0,0.0
2020-02-22,402000.0,403000.0,411000.0,401500.0,421898.6666666667,144333.33333333334,147333.33333333334,149000.0,143500.0,229.0,2.0,3.0,0.0
2020-02-23,397000.0,399000.0,405500.0,396500.0,442873.3333333333,144666.66666666666,145666.66666666666,148500.0,143500.0,175.0,3.0,1.0,0.0
2020-02-24,392000.0,395000.0,400000.0,391500.0,463848.0,145000.0,144000.0,148000.0,143500.0,235.0,1.0,4.0,0.0
2020-02-25,395500.0,399500.0,400500.0,391500.0,478820.0,143000.0,146500.0,148000.0,142000.0,134.0,3.0,6.0,0.0
2020-02-26,394000.0,395000.0,398000.0,387000.0,334971.0,142500.0,145000.0,148500.0,140500.0,284.0,2.0,8.0,0.0
