,date,total_cases,total_deaths,ca_cases,ca_deaths,ticker,open,close,volume,neg,neu,pos,compound,kor_cases,kor_deaths,seoul_cases,seoul_deaths,kor_close,kor_open,kor_volume,kor_ticker,label
0,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.038,0.872,0.09,0.9517,1,0,0,0,344500,358000,364883,051910,0.5
1,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.038,0.872,0.09,0.9517,1,0,0,0,148000,148500,89682,011070,0.0
2,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.0,0.935,0.065,0.946,1,0,0,0,344500,358000,364883,051910,0.5
3,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.0,0.935,0.065,0.946,1,0,0,0,148000,148500,89682,011070,0.0
4,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.081,0.843,0.076,-0.3269,1,0,0,0,344500,358000,364883,051910,0.5
5,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.081,0.843,0.076,-0.3269,1,0,0,0,148000,148500,89682,011070,0.0
6,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.040999999999999995,0.883,0.076,0.4019,1,0,0,0,344500,358000,364883,051910,0.5
7,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.040999999999999995,0.883,0.076,0.4019,1,0,0,0,148000,148500,89682,011070,0.0
8,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.040999999999999995,0.851,0.10800000000000001,0.9840000000000001,1,0,0,0,344500,358000,364883,051910,0.5
9,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.040999999999999995,0.851,0.10800000000000001,0.9840000000000001,1,0,0,0,148000,148500,89682,011070,0.0
10,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.052000000000000005,0.861,0.086,0.9502,1,0,0,0,344500,358000,364883,051910,0.5
11,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.052000000000000005,0.861,0.086,0.9502,1,0,0,0,148000,148500,89682,011070,0.0
12,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.046,0.9209999999999999,0.033,-0.9417,1,0,0,0,344500,358000,364883,051910,0.5
13,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.046,0.9209999999999999,0.033,-0.9417,1,0,0,0,148000,148500,89682,011070,0.0
14,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.061,0.8809999999999999,0.057,-0.2023,1,0,0,0,344500,358000,364883,051910,0.5
15,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.061,0.8809999999999999,0.057,-0.2023,1,0,0,0,148000,148500,89682,011070,0.0
16,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.045,0.828,0.127,0.9888,1,0,0,0,344500,358000,364883,051910,0.5
17,2020-01-21,1,0,0,0,AAPL,79.29750061035156,79.14250183105469,110843200.0,0.045,0.828,0.127,0.9888,1,0,0,0,148000,148500,89682,011070,0.0
18,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.0,0.9440000000000001,0.055999999999999994,0.8442,1,0,0,0,351500,347500,311524,051910,0.5
19,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.0,0.9440000000000001,0.055999999999999994,0.8442,1,0,0,0,148000,148000,110366,011070,0.5
20,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.017,0.878,0.105,0.9958,1,0,0,0,351500,347500,311524,051910,0.5
21,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.017,0.878,0.105,0.9958,1,0,0,0,148000,148000,110366,011070,0.5
22,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.040999999999999995,0.91,0.049,0.7311,1,0,0,0,351500,347500,311524,051910,0.5
23,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.040999999999999995,0.91,0.049,0.7311,1,0,0,0,148000,148000,110366,011070,0.5
24,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.0,0.904,0.096,0.9412,1,0,0,0,351500,347500,311524,051910,0.5
25,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.0,0.904,0.096,0.9412,1,0,0,0,148000,148000,110366,011070,0.5
26,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.065,0.8190000000000001,0.11599999999999999,0.9990000000000001,1,0,0,0,351500,347500,311524,051910,0.5
27,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.065,0.8190000000000001,0.11599999999999999,0.9990000000000001,1,0,0,0,148000,148000,110366,011070,0.5
28,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.019,0.922,0.059000000000000004,0.765,1,0,0,0,351500,347500,311524,051910,0.5
29,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.019,0.922,0.059000000000000004,0.765,1,0,0,0,148000,148000,110366,011070,0.5
30,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.057999999999999996,0.882,0.06,-0.413,1,0,0,0,351500,347500,311524,051910,0.5
31,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.057999999999999996,0.882,0.06,-0.413,1,0,0,0,148000,148000,110366,011070,0.5
32,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.046,0.8859999999999999,0.069,0.4118,1,0,0,0,351500,347500,311524,051910,0.5
33,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.046,0.8859999999999999,0.069,0.4118,1,0,0,0,148000,148000,110366,011070,0.5
34,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.0,0.87,0.13,0.9595,1,0,0,0,351500,347500,311524,051910,0.5
35,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.0,0.87,0.13,0.9595,1,0,0,0,148000,148000,110366,011070,0.5
36,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.036000000000000004,0.84,0.12300000000000001,0.9698,1,0,0,0,351500,347500,311524,051910,0.5
37,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.036000000000000004,0.84,0.12300000000000001,0.9698,1,0,0,0,148000,148000,110366,011070,0.5
38,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.012,0.9309999999999999,0.057,0.7269,1,0,0,0,351500,347500,311524,051910,0.5
39,2020-01-22,1,0,0,0,AAPL,79.6449966430664,79.42500305175781,101832400.0,0.012,0.9309999999999999,0.057,0.7269,1,0,0,0,148000,148000,110366,011070,0.5
40,2020-01-23,1,0,0,0,AAPL,79.4800033569336,79.80750274658203,104472000.0,0.067,0.838,0.095,0.807,1,0,0,0,348500,347500,260932,051910,0.5
41,2020-01-23,1,0,0,0,AAPL,79.4800033569336,79.80750274658203,104472000.0,0.067,0.838,0.095,0.807,1,0,0,0,152500,147000,173243,011070,0.0
42,2020-01-23,1,0,0,0,AAPL,79.4800033569336,79.80750274658203,104472000.0,0.034,0.8959999999999999,0.071,0.9133,1,0,0,0,348500,347500,260932,051910,0.5
43,2020-01-23,1,0,0,0,AAPL,79.4800033569336,79.80750274658203,104472000.0,0.034,0.8959999999999999,0.071,0.9133,1,0,0,0,152500,147000,173243,011070,0.0
44,2020-01-23,1,0,0,0,AAPL,79.4800033569336,79.80750274658203,104472000.0,0.124,0.8270000000000001,0.049,-0.7906,1,0,0,0,348500,347500,260932,051910,0.5
45,2020-01-23,1,0,0,0,AAPL,79.4800033569336,79.80750274658203,104472000.0,0.124,0.8270000000000001,0.049,-0.7906,1,0,0,0,152500,147000,173243,011070,0.0
46,2020-01-23,1,0,0,0,AAPL,79.4800033569336,79.80750274658203,104472000.0,0.0,0.935,0.065,0.4939,1,0,0,0,348500,347500,260932,051910,0.5
47,2020-01-23,1,0,0,0,AAPL,79.4800033569336,79.80750274658203,104472000.0,0.0,0.935,0.065,0.4939,1,0,0,0,152500,147000,173243,011070,0.0
48,2020-01-24,2,0,0,0,AAPL,80.0625,79.57749938964844,146537600.0,0.07200000000000001,0.879,0.049,-0.9788,2,0,0,0,0,0,0,0,0.0
49,2020-01-24,2,0,0,0,AAPL,80.0625,79.57749938964844,146537600.0,0.07200000000000001,0.879,0.049,-0.9788,2,0,0,0,0,0,0,0,0.0
50,2020-01-24,2,0,0,0,AAPL,80.0625,79.57749938964844,146537600.0,0.054000000000000006,0.823,0.12300000000000001,0.9875,2,0,0,0,0,0,0,0,0.0
51,2020-01-24,2,0,0,0,AAPL,80.0625,79.57749938964844,146537600.0,0.054000000000000006,0.823,0.12300000000000001,0.9875,2,0,0,0,0,0,0,0,0.0
52,2020-01-24,2,0,0,0,AAPL,80.0625,79.57749938964844,146537600.0,0.0,0.887,0.113,0.3182,2,0,0,0,0,0,0,0,0.0
53,2020-01-24,2,0,0,0,AAPL,80.0625,79.57749938964844,146537600.0,0.0,0.887,0.113,0.3182,2,0,0,0,0,0,0,0,0.0
54,2020-01-24,2,0,0,0,AAPL,80.0625,79.57749938964844,146537600.0,0.111,0.778,0.111,-0.6841,2,0,0,0,0,0,0,0,0.0
55,2020-01-24,2,0,0,0,AAPL,80.0625,79.57749938964844,146537600.0,0.111,0.778,0.111,-0.6841,2,0,0,0,0,0,0,0,0.0
