,date,total_cases,total_deaths,ca_cases,ca_deaths,ticker,open,close,volume,neg,neu,pos,compound
0,2020-01-21,1,0,0,0,TSLA,106.0500030517578,109.44000244140624,89017500.0,0.023,0.883,0.094,0.9081
1,2020-01-21,1,0,0,0,TSLA,106.0500030517578,109.44000244140624,89017500.0,0.064,0.861,0.075,0.34
2,2020-01-21,1,0,0,0,TSLA,106.0500030517578,109.44000244140624,89017500.0,0.061,0.8809999999999999,0.057,-0.2023
3,2020-01-21,1,0,0,0,TSLA,106.0500030517578,109.44000244140624,89017500.0,0.08,0.871,0.049,-0.34
4,2020-01-21,1,0,0,0,TSLA,106.0500030517578,109.44000244140624,89017500.0,0.028999999999999998,0.898,0.073,0.3182
5,2020-01-22,1,0,0,0,TSLA,114.37799835205078,113.91200256347656,156845000.0,0.015,0.883,0.10099999999999999,0.9607
6,2020-01-22,1,0,0,0,TSLA,114.37799835205078,113.91200256347656,156845000.0,0.065,0.8190000000000001,0.11599999999999999,0.9990000000000001
7,2020-01-22,1,0,0,0,TSLA,114.37799835205078,113.91200256347656,156845000.0,0.019,0.922,0.059000000000000004,0.765
8,2020-01-22,1,0,0,0,TSLA,114.37799835205078,113.91200256347656,156845000.0,0.07400000000000001,0.877,0.049,-0.9246
9,2020-01-22,1,0,0,0,TSLA,114.37799835205078,113.91200256347656,156845000.0,0.043,0.867,0.09,0.9478
10,2020-01-22,1,0,0,0,TSLA,114.37799835205078,113.91200256347656,156845000.0,0.034,0.893,0.073,0.636
11,2020-01-22,1,0,0,0,TSLA,114.37799835205078,113.91200256347656,156845000.0,0.09300000000000001,0.787,0.12,0.6486
12,2020-01-22,1,0,0,0,TSLA,114.37799835205078,113.91200256347656,156845000.0,0.11,0.797,0.09300000000000001,-0.8537
13,2020-01-22,1,0,0,0,TSLA,114.37799835205078,113.91200256347656,156845000.0,0.05,0.8440000000000001,0.106,0.9712
14,2020-01-23,1,0,0,0,TSLA,112.8499984741211,114.44000244140624,98255000.0,0.024,0.848,0.128,0.9842
15,2020-01-23,1,0,0,0,TSLA,112.8499984741211,114.44000244140624,98255000.0,0.035,0.8390000000000001,0.126,0.9334
16,2020-01-23,1,0,0,0,TSLA,112.8499984741211,114.44000244140624,98255000.0,0.12300000000000001,0.863,0.015,-0.9893
17,2020-01-23,1,0,0,0,TSLA,112.8499984741211,114.44000244140624,98255000.0,0.067,0.838,0.095,0.807
18,2020-01-23,1,0,0,0,TSLA,112.8499984741211,114.44000244140624,98255000.0,0.009000000000000001,0.823,0.168,0.9868
19,2020-01-23,1,0,0,0,TSLA,112.8499984741211,114.44000244140624,98255000.0,0.064,0.8740000000000001,0.062,-0.3182
20,2020-01-23,1,0,0,0,TSLA,112.8499984741211,114.44000244140624,98255000.0,0.092,0.825,0.083,-0.6486
21,2020-01-24,2,0,0,0,TSLA,114.1259994506836,112.96399688720705,71768000.0,0.057,0.8240000000000001,0.11900000000000001,0.9786
